no,name,year,description,developer,genre,ratings,harga,toko_1,alamat_1,toko_2,alamat_2,toko_3,alamat_3
26,Uncharted: The Lost Legacy,2017,"Join fan-favorite characters Chloe Frazer and Nadine Ross in as they embark on their own thrilling adventure filled with breathtaking set pieces and brain-scratching puzzles. Trek through the lush landscapes of India in search of an ancient artifact while forging a deep bond between the two strong-willed protagonists. This stand-alone expansion proves that even without Nathan Drake, the  universe still packs a wallop.",Naughty Dog,"Shooter, Puzzle, Adventure",4.6,591450,,,,,,
27,Dark Souls III,2016,"Embark on a quest to rekindle the fading flame in, an unforgiving action RPG that rewards patience, persistence, and strategic mastery. Battle grotesque and fearsome foes in a dark, interconnected world, honing your skills with each hard-won victory. A punishing yet rewarding journey, stands as a fitting farewell to a groundbreaking series that redefined an entire genre.",FromSoftware,"Role-playing (RPG), Adventure",4.6,339000,,,,,,
28,Middle-earth: Shadow of Mordor,2014,"Set foot in the perilous land of Mordor in , a gripping action RPG that delves into the rich lore of J.R.R. Tolkien's universe. Play as Talion, a ranger bonded with a vengeful spirit, who wields powerful abilities to dominate his enemies using the revolutionary Nemesis System. An engaging blend of stealth, combat, and exploration,  offers fans a unique, immersive excursion to the heart of darkness.",Monolith Productions,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.4,374850,,,,,,
29,Dying Light,2014,"Leap into a post-apocalyptic city teeming with zombies in , a first-person action-survival game where parkour is just as important as combat. As undercover operative Kyle Crane, navigate treacherous urban environments, scavenge for resources, and face off against horrifying monsters while uncovering a dark conspiracy. With its dynamic day-night cycle and nail-biting gameplay, is a breath of fresh air in the zombie action genre.",Techland,"Survival horror, First-person Shooter",4.6,599850,,,,,,
30,Assassin's Creed II,2009,"Experience the Renaissance through the eyes of Ezio Auditore in, a groundbreaking sequel that leaps leaps and bounds beyond its predecessor. Traverse iconic Italian cities, infiltrate secretive organizations, and master the ancient art of the Assassins in this stylish, open-world adventure. A true revolution in the series,  set the stage for years of captivating historical escapades.",Ubisoft Montreal,"Platform, Adventure",4.8,403950,,,,,,
31,Until Dawn,2015,"Test your survival instincts in , a cinematic horror experience where every choice you make can mean life or death for a group of friends trapped on a remote mountain getaway. As supernatural forces and twisted secrets haunt their every step, the fate of the characters hangs on your decisions, ensuring that no two playthroughs are the same. With its gripping narrative and innovative branching storylines, is a chilling interactive movie that'll keep you on the edge of your seat.",Supermassive Games,Adventure,4.7,449850,,,,,,
32,Persona 5,2016,"Unmask the darkness lurking beneath the surface in, a stylish JRPG that boldly tackles themes of societal corruption and personal identity. Assemble an eclectic group of Phantom Thieves while managing everyday school life, ultimately delving into twisted cognitive realms to steal hearts and spark change. A critically acclaimed masterpiece,  has left an indelible stamp on the genre, proving that even the most time-honored traditions can be shaken up and reinvigorated.",Atlus,"Role-playing (RPG), Turn-based strategy (TBS), Adventure",4.7,412350,,,,,,
33,Final Fantasy VII Remake,2020,"Relive the magic of a timeless classic in , a visually stunning reimagining of one of the most beloved RPGs in gaming history. Follow Cloud Strife and his eclectic band of eco-terrorists as they fight for the planet against the malevolent Shinra corporation, all while exploring a dense, detailed recreation of the original's iconic setting. A faithful yet innovative homage to the original,  has forged a legacy all its own, proving that even the most sacred titles can be reborn.",Square Enix Creative Business Unit I,"Role-playing (RPG), Adventure",4.4,598650,,,,,,
34,Metal Gear Solid V: The Phantom Pain,2015,"Embrace the role of Big Boss in , the thrilling final chapter of Hideo Kojima's legendary stealth-action saga. Build and manage your own private army as you embark on an engrossing geopolitical tale set in a sprawling, open-world battlefield. A true magnum opus,  encapsulates the essence of the series while boldly forging new paths, ensuring its place in gaming history as a fitting swan song for the beloved franchise.",Kojima Productions,"Shooter, Tactical, Adventure",4.7,441600,,,,,,
35,Infamous: Second Son,2014,"Wield extraordinary powers in, an open-world adventure that puts you in the shoes of Delsin Rowe, a young man gifted with dangerous abilities. As a Conduit, navigate the vibrant cityscape of Seattle, battling enemies and choosing your moral path through a gripping narrative. A standout entry in the series,  has blazed a trail for the superhero genre, offering players the chance to shape their own destiny.",Sucker Punch Productions,"Shooter, Platform, Adventure",4.6,431100,,,,,,
36,Monster Hunter: World,2018,"Sharpen your blades and prepare for the hunt in , an exhilarating action RPG teeming with colossal creatures and lush ecosystems just begging to be explored. Team up with friends or go solo as you track, trap, and slay your quarry, all while crafting ever more powerful gear. This entry in the beloved series has catapulted the franchise into the mainstream, earning it legions of dedicated fans and proving that hunters will always have a home.",Capcom,"Role-playing (RPG), Adventure",4.4,405000,,,,,,
37,Mortal Kombat X,2015,"Step into the arena and prepare for brutal, bone-crunching combat in, the latest installment in the iconic fighting game series. Showcase your skills with a roster of fan-favorite characters and newcomers alike, utilizing fluid combo systems and devastating finishing moves to annihilate your opponents. Violent, visceral, and downright addictive, has cemented the franchise's place in the upper echelon of the fighting game genre.",NetherRealm Studios,Fighting,4.2,269850,,,,,,
38,Far Cry 4,2014,"Venture into the heart of the Himalayas in, an open-world adventure filled with breathtaking vistas, ruthless foes, and explosive action. As Ajay Ghale, overthrow the tyrannical Pagan Min's reign by forming alliances, mastering a diverse arsenal of weapons, and unleashing chaos on the vast, untamed world of Kyrat. With its thrilling gameplay and immersive storytelling,  has set the benchmark for the series, delivering an action-packed experience like no other.",Ubisoft Montreal,"FPS,",4.6,201715,,,,,,
39,Hitman,2016,"Step into the meticulously crafted shoes of Agent 47 in , a stylish stealth-action game that puts your creativity and cunning to the test. Travel the globe, infiltrating high-security locations and eliminating targets with ruthless precision, all while using your environment to plan and execute the perfect kill. With its gripping episodic narrative and sandbox-style gameplay, has redefined the stealth genre, offering players a truly immersive assassination experience.",IO Interactive,"Shooter, Tactical, Adventure",4,389850,,,,,,
40,Final Fantasy XV,2016,"Embark on an unforgettable road trip with Noctis and his loyal friends in , an epic fantasy adventure brimming with deep character relationships and heartrending moments. Explore a vibrant open world, engage in exciting real-time combat, and uncover hidden secrets as you fight to reclaim your throne. A touching exploration of friendship and destiny,  has earned its place among the series' most cherished entries.",Square Enix Business Division 2,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.3,322350,,,,,,
41,Rocket League,2015,"Rev your engines and hit the pitch in , a high-octane blend of soccer and vehicular mayhem that's taken the gaming world by storm. Score goals and pull off gravity-defying stunts in thrilling one-on-one or team-based matches, mastering a unique control scheme that rewards skill and perseverance. With its addictive gameplay and seemingly endless replay value,  has captured the hearts of gamers everywhere, proving that sometimes, the simplest ideas are the most effective.",Psyonix,"Racing, Sport, Indie",4.1,1229850,,,,,,
42,Stray,2022,"Embark on a thrilling adventure through a neon-lit dystopia as a lost cat in , an enchanting action-adventure game set in a world inhabited by robots. Utilize feline agility, stealth, and cunning to navigate treacherous environments and unravel the mysteries of this captivating metropolis. A love letter to our furry companions, promises to be an unforgettable gaming experience that tugs at the heartstrings.",BlueTwelve Studio,"Adventure, Indie",4.8,325500,,,,,,
43,Teenage Mutant Ninja Turtles: Shredder's Revenge,2022,"Cowabunga! Don your shells once more in , a retro-styled beat 'em up that faithfully captures the spirit of the classic cartoon. Join Leonardo, Raphael, Michelangelo, and Donatello in their quest to foil the evil Shredder's dastardly plans, all while enjoying fast-paced, co-op-friendly gameplay. A bodacious blast from the past, Shredder's Revenge is the ultimate love letter to fans of the original games and the heroes in a half-shell.",Tribute Games,"Hack and slash/Beat 'em up, Indie, Arcade",4.5,439350,,,,,,
44,Hades,2020,"A rogue-lite dungeon crawler where Zagreus, son of Hades, battles through the underworld in Hades.",Supergiant Games,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",4.7,299850,,,,,,
45,Mortal Kombat 11,2019,"Mortal Kombat is back in Mortal Kombat 11, featuring custom character variations and cinematic story mode.",NetherRealm Studios,Fighting,4.4,356250,,,,,,
46,Kingdom Hearts III,2019,"Reunite with Sora, Donald, and Goofy in , the climactic chapter to an iconic series that weaves together the colorful worlds of Disney and the captivating characters of Final Fantasy. Traverse enchanting realms, engage in fast-paced combat, and uncover the secrets of the Keyblade in this heartwarming adventure. A loving tribute to the magic of all things Disney,  is a visual feast, brimming with friendship, courage, and wonderment.",Square Enix Business Division 3,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",3.6,209250,,,,,,
47,Life is Strange,2015,"Immerse yourself in the nostalgic world of Arcadia Bay in , an episodic adventure game that explores themes of friendship, love, and loss. Follow high school student Max Caulfield as she discovers her ability to rewind time, shaping the story through her choices and forging deep bonds with unforgettable characters. A poignant examination of the human experience,has captured the hearts of players around the world, proving that sometimes, life is stranger than fiction.",,,3.45,329850,,,,,,
48,A Way Out,2018,,Hazelight Studios,Adventure,4.4,606300,,,,,,
49,The Outer Worlds,2019,"Journey to the far reaches of the cosmos in , a first-person RPG that balances dark humor with thought-provoking storytelling. As a spacefaring adventurer, assemble a crew and explore richly detailed planets, battling corporate overlords and ferocious alien creatures along the way. A true spiritual successor to classic sci-fi titles,  has carved out a delightful niche for itself, blending humor, action, and meaningful choices into a singular gaming experience.",Obsidian Entertainment,"Shooter, Role-playing (RPG), Adventure",4.3,319200,,,,,,
50,Marvel's Guardians of the Galaxy,2021,"Join the ragtag crew of the Milano in , a cosmic action-adventure filled with witty banter and pulse-pounding battles. As Star-Lord, guide the disparate heroes through stunning interstellar landscapes while making choices that define the course of their journey. With its engaging narrative, vibrant visuals, and unforgettable characters, is a galactic thrill-ride that'll leave you hooked on a feeling.",Eidos Montréal,"Shooter, Role-playing (RPG), Adventure",4.7,411900,,,,,,
51,Yakuza 0,2015,"The glitz, glamour, and unbridled decadence of the 80s are back! Yakuza 0 is a prequel set in 1988 to the Yakuza series, taking place before the first game. Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima. Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. Then, step into the silver-toed shoes of Goro Majima and explore his “normal” life as the proprietor of a cabaret club.",Ryu ga Gotoku Studios,"Role-playing (RPG), Simulator, Hack and slash/Beat 'em up, Adventure",4.7,260000,,,,,,
52,Teenage Mutant Ninja Turtles: The Cowabunga Collection,2022,"Get ready for a tubular trip down memory lane in , a compilation of classic TMNT games spanning multiple generations. From side-scrolling beat 'em ups to arcade-style fighters, relive your favorite moments with Leonardo, Raphael, Michelangelo, and Donatello across an array of gaming gems. A radical celebration of the heroes in a half-shell,  is stocked to the gills with pizza-fueled nostalgia.",Digital Eclipse,"Fighting, Platform, Hack and slash/Beat 'em up, Adventure, Arcade",3.95,169000,,,,,,
53,Dragon Age: Inquisition,2014,"Dragon Age: Inquisition is a role-playing game and the third main game in the Dragon Age series. It is set in the Thedas continent, the same fantasy world as the two previous games. It consist of two large countries: Ferelden (from Dragon Age: Origins) and Orlais, as well as the land inbetween. True to the spirit of the series the character can be customized for appearance, sex, class and race. The available races are dwarf, elf, human, and Qunari and the classes are mage, rogue, and warrior with three specializations each. To grow the Inquisition experience needs to be earned by completing quests, which allows the player to further define allegiances and pursue romances. A custom party can be defined and each member benefits from experience as it opens up access to better weapons and more abilities. Power points open up new areas and Inquisition points define the influence over the region; each new level provides a perk that benefits the entire Inquisition.",BioWare Edmonton,"Role-playing (RPG), Tactical, Adventure",4.4,479000,,,,,,
54,Psychonauts 2,2021,"Psychonauts 2 is a mind-bending trip through the strange worlds hiding inside our brains. Freshly-minted special agent and acrobat extraordinaire Razputin “Raz” Aquato returns to unpack emotional baggage and expand mental horizons. Along the way he’ll help new friends, like this magical mote of light voiced (and sung) by Jack Black. Raz must use his powers to unravel dark mysteries about the Psychonauts team and his own family origins.",Double Fine Productions,"Platform, Adventure",4.8,249000,,,,,,
55,Far Cry 6,2021,"Dive into the gritty world of a modern-day guerrilla revolution to liberate a nation from its oppressive dictators. Welcome to Yara, a tropical paradise frozen in time. Far Cry 6 thrusts players into a modern-day guerrilla revolution. As dictator of Yara, Anton Castillo is intent on restoring his nation back to its former glory by any means, with his son, Diego, following in his bloody footsteps. Become a guerrilla fighter and liberate Yara.",Ubisoft Toronto,"Shooter, Adventure",3.6,619000,,,,,,
56,Fall Guys: Ultimate Knockout,2020,"Fall Guys: Ultimate Knockout is a multiplayer video game developed by Mediatonic and published by Devolver Digital. It was announced at E3 in June 2019, for Microsoft Windows and PlayStation 4, and was released on August 4, 2020. It is heavily inspired by obstacle racing TV games like Takeshi's Castle, Wipeout or Ninja Warrior, where 60 players have to overcome challenges and various obstacles without failing to grab the only crown and become the winner. Prior to release, it was announced that Fall Guys would be free for PlayStation Plus members.",Mediatonic,"Battle royale, Multiplayer, Platform",4,125000,,,,,,
57,Diablo III: Ultimate Evil Edition,2012,"Diablo III is the third installment in Blizzard's franchise. The game, like its predecessors, is a dungeon crawler in which the player fights against hordes of enemies ranging from beasts and undead to actual demons. The game has four acts, two game modes (normal and hardcore) as well as four difficulty levels: Normal, Nightmare, Hell and Inferno. A new addition to Diablo III is the auction house, where items are exchanged for in-game gold or real money, also usable to purchase Blizzard merchandise. The game features a wide array of achievements earned upon meeting certain requirements.",Blizzard Entertainment,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.6,450000,,,,,,
58,Death Stranding,2019,"From legendary game creator Hideo Kojima comes an all-new, genre-defying open world action adventure, starring Norman Reedus, Mads Mikkelsen, Léa Seydoux and Lindsay Wagner. In the near future, mysterious explosions have rocked the globe, setting off a series of supernatural events known as the Death Stranding. With otherworldly creatures plaguing the landscape, and mass extinction imminent, it’s up to Sam Porter Bridges to travel across the ravaged wasteland and save humanity from impending annihilation.",Kojima Productions,"Shooter, Role-playing (RPG), Adventure",4.3,173000,,,,,,
59,Dishonored 2,2016,"Dishonored 2 is a first-person action video game and the sequel to Dishonored. It borrows many of the gameplay elements from the first opus: players define their own play style by blending action, assassination, stealth, mobility and combat. Combining tools at their disposal, players are allowed options to eliminate enemies, whether they choose to pursue them unseen or ruthlessly attack head on. Dishonored 2 features the same campaign style as its predecessor in which the protagonist must advance through a series of missions.",Arkane Studios,"Shooter, Role-playing (RPG), Adventure",4.6,400000,,,,,,
60,Injustice 2,2017,"Power up and build the ultimate version of your favorite DC legends in INJUSTICE 2. With a massive selection of DC Super Heroes and Super-Villains, INJUSTICE 2 allows you to equip every iconic character with unique and powerful gear earned throughout the game. Experience an unprecedented level of control over how your favorite characters look, how they fight, and how they develop across a huge variety of game modes. This is your super Hero. Your Journey. Your Injustice.",NetherRealm Studios,Fighting,4.5,209000,,,,,,
61,Mad Max,2015,Mad Max is a post-apocalyptic action game developed and published by Mindscape for the Nintendo Entertainment System in 1990. The game is based on the 1981 Australian film Mad Max 2.,Mindscape Group,"Action game, Racing video game",4.6,289000,,,,,,
62,Wolfenstein II: The New Colossus,2017,"Wolfenstein II: The New Colossus is the eleventh installment of the Wolfenstein series and a sequel to the 2014's Wolfenstein: The New Order. The game follows the main protagonist, William Joseph ""B.J."" Blazkowicz, in his efforts to ignite a Second American Revolution. The game is played from a first-person perspective and most of its levels are navigated on foot. The story is arranged in chapters, which players complete in order to progress. A binary choice in the prologue alters the game's entire storyline; some characters and small plot points are replaced throughout the timelines. The game features a variety of weapons, most of which can be dual wielded. A cover system is also present.",MachineGames,"Shooter, Adventure",4.6,420000,,,,,,
63,Alien: Isolation,2014,"Alien: Isolation is a survival horror game based on the Alien franchise. As Amanda Ripley, daughter of Ellen Ripley, you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked population and an unpredictable Alien. You must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission but to simply stay alive. In addition to the main story mode there's Survivor mode in which the player needs to escape from a specially designed map fulfilling secondary objectives along the way, while being aggressively hunted by the alien. This mode includes online leaderboards.",The Creative Assembly,Adventure,3.9,589000,,,,,,
64,Journey,2012,"A third-person adventure game in which the player, controlling a robed figure, makes a pilgrimage through a desert landscape to a rugged mountain with a beacon of light in the distance while uncovering the history of their people, rescuing and cooperating with friendly creatures, avoiding predatory ones and communicating with other travelers.",ThatGameCompany,"Platform, Adventure",4.7,126000,,,,,,
65,Metro Exodus,2019,"Metro Exodus is an epic, story-driven first person shooter from 4A Games that blends deadly combat and stealth with exploration and survival horror in one of the most immersive game worlds ever created. Explore the Russian wilderness across vast, non-linear levels and follow a thrilling story-line that spans an entire year through spring, summer and autumn to the depths of nuclear winter. Inspired by the novels of Dmitry Glukhovsky, Metro Exodus continues Artyom’s story in the greatest Metro adventure yet.",4A Games,"Shooter, Adventure",4.5,321000,,,,,,
66,A Plague Tale: Innocence,2019,"A Plague Tale: Innocence, on PlayStation 4, Xbox One and PC, tells the grim story of two siblings fighting together for survival in the darkest hours of History. This new video game from Asobo Studio sends you on an emotional journey through 14th-century France, with gameplay combining adventure, action and stealth, supported by a compelling story. Follow the young Amicia and her little brother Hugo, who face the brutality of a ravaged world as they discover their purpose to expose a dark secret. On the run from the Inquisition's soldiers, surrounded by unstoppable swarms of rats incarnating the Black Death, Amicia and Hugo will learn to know and trust each other as they struggle for their lives against all odds.",Asobo Studio,"Role-playing (RPG), Adventure",4.7,349000,,,,,,
67,Far Cry Primal,2016,"Far Cry Primal is an action-adventure video game developed by Ubisoft Montreal and published by Ubisoft. The game is a spin-off of the main Far Cry series and was released for PlayStation 4, Xbox One, and PC in 2016. The game revolves around the story of Takkar, who starts off as an unarmed hunter and rises to become the leader of a tribe.",Ubisoft Montreal,Action-adventure,4.7,499000,,,,,,
68,Battlefield 4,2013,"Battlefield 4 is the genre-defining action blockbuster created by Dice, and made from moments that blur the line between game and glory, moments found only in Battlefield. Go to Boot Camp to learn the basics of Battlefield 4's engaging single player and intense multiplayer mode. Here you'll also find intel on Levolution, Commander Mode, Naval Warfare and many more exciting game features.",EA Digital Illusions CE,Shooter,4.4,479000,,,,,,
